AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
" -168.9478,65.4970 ",," -90.5603,34.4409 "," -114.6849,33.2065 "," -114.3031,34.4375 ",," -73.0007,41.0866 ",," -82.0377,30.7111 "," -81.7795,33.1674 "," -156.1418,20.1643 "," -90.4298,42.2905 "," -114.4418,45.8585 "," -88.4221,37.1428 "," -86.2729,38.1346 ",," -83.1418,38.6190 "," -91.3925,31.6230 "," -70.0337,42.1939 "," -76.5170,38.0275 "," -69.0504,47.2578 "," -84.1148,46.2672 "," -89.7583,48.0193 "," -89.5331,37.6925 "," -91.5436,31.2609 "," -113.9722,45.6908 "," -83.6938,35.5512 "," -104.0501,48.9946 "," -96.3583,42.2021 "," -70.8261,43.1411 "," -75.1685,39.0565 ",," -114.7522,36.0447 "," -76.1655,44.2413 "," -82.6845,41.6709 "," -97.3622,33.8237 "," -122.7585,45.7637 "," -74.9432,40.3392 ",," -82.5471,33.9650 "," -96.8472,45.6160 "," -83.2393,35.7131 "," -103.4692,29.0682 ",," -81.8619,37.3134 "," -71.7146,44.4093 "," -118.0330,46.0008 "," -87.9936,45.7934 "," -78.5522,39.0160 ",
" -167.4756,65.0420 ",," -90.5548,34.5348 "," -114.7220,33.2846 "," -114.2674,34.4024 ",," -73.2493,41.0255 ",," -82.0514,30.7371 "," -81.7424,33.1456 "," -156.2393,19.9308 "," -90.5370,42.4093 "," -114.5654,45.7742 "," -88.4990,37.0585 "," -86.3704,38.1842 ",," -83.2819,38.5986 "," -91.5134,31.6218 "," -70.5144,42.2173 "," -76.5363,38.0751 "," -68.8843,47.1748 "," -84.0969,46.2563 "," -89.9931,48.0285 "," -89.4287,37.4007 "," -91.5271,31.3724 "," -114.1315,45.5631 "," -83.5181,35.5680 ",," -96.3281,42.2448 "," -70.7671,43.1000 "," -75.3250,39.2525 ",," -114.7412,35.9691 "," -76.1353,44.2973 "," -83.1157,41.9585 "," -97.2166,33.9001 "," -122.7750,45.6851 "," -74.8389,40.2628 ",," -82.6625,34.0947 "," -96.5849,45.8202 "," -83.4961,35.5635 "," -103.3154,29.0105 ",," -81.7987,37.2872 "," -71.7957,44.3975 "," -118.9867,45.9998 "," -88.1145,45.8077 "," -78.7843,38.8846 ",
" -167.0142,64.3922 ",," -90.5768,34.5959 "," -114.6973,33.3546 "," -114.1864,34.3559 ",," -73.6132,40.9509 ",," -82.0102,30.7678 "," -81.6078,33.0881 "," -156.1432,19.2826 "," -90.6400,42.5217 "," -114.5229,45.6745 "," -88.7256,37.1428 "," -86.5187,38.0416 ",," -83.5291,38.6941 "," -91.4310,31.5668 "," -70.6984,42.4133 "," -76.6063,38.1464 "," -68.6206,47.2643 "," -84.1093,46.2411 "," -90.0261,48.0827 "," -89.5386,37.2784 "," -91.5161,31.4099 "," -114.2358,45.5525 "," -83.3849,35.6327 ",," -96.4188,42.3890 "," -70.6970,43.0498 "," -75.5544,39.4500 ",," -114.7028,35.8980 "," -76.0474,44.3327 "," -83.4219,41.7314 "," -97.1645,33.7426 "," -122.7530,45.6505 "," -74.7221,40.1495 ",," -82.7216,34.1664 "," -96.5643,45.9311 "," -83.6938,35.5501 "," -103.1616,28.9601 ",," -81.7259,37.2424 "," -71.8163,44.3563 "," -119.1302,45.9320 "," -88.0733,45.8728 "," -78.8722,38.7669 ",
" -165.7343,64.0554 ",," -90.5301,34.7213 "," -114.7258,33.4051 "," -114.1383,34.3049 ",," -73.6606,40.9830 ",," -82.0322,30.7914 "," -81.5034,33.0075 "," -156.1212,18.9881 "," -90.7127,42.6360 "," -114.5654,45.5621 "," -88.9453,37.2128 "," -86.5874,37.9193 ",," -83.6595,38.6351 "," -91.5161,31.5130 "," -70.3647,42.6420 "," -76.6928,38.1616 "," -68.3350,47.3546 "," -84.0859,46.2098 "," -90.1758,48.1074 "," -89.4452,37.1734 "," -91.5120,31.5071 "," -114.3347,45.4592 "," -83.2475,35.7142 ",," -96.4037,42.4731 "," -70.5583,42.9222 "," -75.5612,39.4966 ",," -114.6588,35.8757 "," -75.9856,44.3553 "," -84.8021,41.6944 "," -97.0930,33.7392 "," -122.5937,45.6064 "," -75.0929,39.9592 ",," -82.7930,34.3434 "," -104.0501,45.9416 "," -83.8284,35.5233 "," -103.0957,29.0177 ",," -81.6792,37.2008 "," -71.8698,44.3327 "," -119.1708,45.9278 "," -88.1982,45.9521 "," -78.9917,38.8451 ",
" -163.2294,64.0193 ",," -90.5328,34.7574 "," -114.6533,33.4120 "," -114.1315,34.2561 ",," -73.6723,41.0338 ",," -81.9717,30.7997 "," -81.5089,32.9418 "," -155.7120,18.7100 "," -90.7883,42.6956 "," -114.4666,45.5439 "," -89.0689,37.1559 "," -86.6409,37.8402 ",," -83.8930,38.7487 "," -91.5244,31.3701 "," -70.4759,42.8286 "," -76.7601,38.1670 "," -68.1564,47.3165 "," -84.0777,46.1879 "," -90.3502,48.0955 "," -89.3793,37.0859 "," -91.4502,31.5692 "," -114.4652,45.5439 "," -82.9962,35.7799 ",," -96.6357,42.5369 "," -70.6146,42.8760 "," -75.5283,39.4998 ",," -114.7083,35.8579 "," -75.9196,44.3749 "," -84.8172,39.1056 "," -96.9173,33.9354 "," -122.4426,45.5679 "," -75.2577,39.8370 ",," -82.8905,34.4647 ",," -83.8847,35.5065 "," -103.0298,29.1330 ",," -81.5549,37.2083 "," -71.9138,44.3484 "," -119.2559,45.9402 "," -88.5498,46.0122 "," -79.0974,38.7102 ",
" -162.1143,63.9615 ",," -90.4546,34.8780 "," -114.5888,33.5016 "," -114.1651,34.2595 ",," -73.7272,41.1011 ",," -81.9608,30.8244 "," -81.4142,32.6914 "," -155.3673,18.8829 "," -91.0533,42.7712 "," -114.3375,45.4601 "," -89.1650,37.0376 "," -86.6478,37.9085 ",," -84.0440,38.7701 "," -91.5477,31.2598 "," -70.6133,42.8760 "," -76.8494,38.1637 "," -67.8804,47.1038 "," -84.0097,46.1508 "," -90.4834,48.1074 "," -89.2859,36.9938 "," -91.5147,31.6230 "," -114.5668,45.5583 "," -82.9276,35.8445 ",," -96.7099,42.6057 "," -70.8467,42.8599 "," -75.5338,39.5411 ",," -114.6973,35.8267 "," -75.8730,44.3994 "," -84.7444,39.1407 "," -96.8527,33.8704 "," -122.3712,45.5756 "," -75.4321,39.8128 ",," -82.9893,34.4760 ",," -84.0248,35.4014 "," -102.8677,29.2157 ",," -81.4988,37.2588 "," -71.9865,44.3386 "," -119.3047,45.9354 "," -88.7036,45.9970 "," -79.1029,38.6555 ",
" -163.6029,63.6877 ",," -90.3529,34.8454 "," -114.5599,33.5317 "," -114.2249,34.2044 ",," -73.4834,41.2153 ",," -81.8893,30.8056 "," -81.4087,32.5815 "," -154.8839,19.2048 "," -91.0904,42.8448 "," -114.2441,45.5468 "," -89.2873,36.9894 "," -86.6876,37.9085 ",," -84.2184,38.8119 "," -91.6425,31.2692 "," -70.8440,42.8619 "," -76.9482,38.2080 "," -67.7898,47.0664 "," -84.0070,46.1180 "," -90.5644,48.1175 "," -89.1829,37.0311 "," -91.3966,31.6253 "," -114.5215,45.6755 "," -82.8191,35.9224 ",," -96.6893,42.6532 "," -70.9195,42.8860 "," -75.5090,39.5761 ",," -114.7192,35.8089 "," -75.8221,44.4308 "," -84.5068,39.0960 "," -96.7484,33.8271 "," -122.3245,45.5506 "," -75.6477,39.8317 ",," -83.0855,34.5281 ",," -84.0276,35.2905 "," -102.8979,29.2565 ",," -81.4856,37.2456 "," -72.0346,44.3052 "," -119.3644,45.9220 "," -88.8451,46.0380 "," -79.3007,38.4106 ",
" -165.3717,63.4530 ",," -90.2911,34.8690 "," -114.5187,33.6306 "," -114.2221,34.1914 ",," -73.5507,41.2953 ",," -81.8372,30.7914 "," -81.2769,32.5283 "," -154.6271,19.5158 "," -91.1398,42.9082 "," -114.1342,45.5631 "," -89.4356,37.1505 "," -86.8236,37.9821 ",," -84.3228,38.9872 "," -91.6603,31.2328 "," -70.9154,42.8890 "," -76.9908,38.2748 "," -67.7802,45.9359 "," -83.9761,46.1018 "," -90.7471,48.0928 "," -89.1403,36.9839 "," -91.3513,31.7936 "," -114.5641,45.7733 "," -82.7710,35.9958 ",," -96.7621,42.6602 "," -71.0609,42.8105 "," -75.5708,39.6237 ",," -114.6973,35.6618 "," -75.8098,44.4740 "," -84.4052,39.0459 "," -96.5602,33.8202 "," -122.2064,45.5641 "," -75.7892,39.7199 ",," -83.3121,34.6581 ",," -84.1113,35.2322 "," -102.8375,29.3570 ",," -81.4367,37.2742 "," -72.0428,44.2432 "," -119.4386,45.9172 "," -89.0909,46.1389 "," -79.4792,38.4600 ",
" -166.3715,62.4133 ",," -90.3104,35.0255 "," -114.5297,33.6786 "," -114.2908,34.1720 ",," -73.5329,41.4906 ",," -81.7960,30.7796 "," -81.1945,32.4576 ",," -91.1549,43.0609 "," -113.9708,45.6889 "," -89.5345,37.2762 "," -86.9019,37.9464 ",," -84.4917,39.1013 "," -91.5848,31.1917 "," -71.0651,42.8075 "," -77.0306,38.3093 "," -67.7527,45.9177 "," -83.9555,46.0570 "," -90.7759,48.1588 "," -89.1005,36.9466 "," -91.2744,31.8589 "," -114.4391,45.8613 "," -82.6419,36.0613 ",," -96.8390,42.7147 "," -71.1420,42.8125 "," -75.5104,39.6713 ",," -114.6478,35.6037 "," -75.7288,44.5425 "," -84.2857,38.9434 "," -96.5053,33.7769 "," -122.0856,45.5987 "," -80.5243,39.7220 ",," -83.3588,34.7326 ",," -84.2294,35.2624 "," -102.8004,29.4898 ",," -81.3675,37.3243 "," -72.0662,44.1930 "," -119.4894,45.9067 "," -90.1195,46.3412 "," -79.5314,38.5342 ",
" -166.9867,61.6534 ",," -90.2843,35.1154 "," -114.4940,33.7083 "," -114.3237,34.1368 ",," -73.4875,42.0493 ",," -81.6696,30.7536 "," -81.1642,32.3185 ",," -91.1522,43.1391 "," -113.8403,45.6102 "," -89.4315,37.3996 "," -87.0392,37.9009 ",," -84.6277,39.1183 "," -91.6287,31.1047 "," -71.1337,42.8226 "," -77.0114,38.3761 "," -67.8090,45.7599 "," -83.9040,46.0604 "," -90.8405,48.2402 "," -89.1788,36.7884 "," -91.1673,31.9755 "," -114.4817,45.9989 "," -82.6103,35.9702 ",," -96.9763,42.7571 "," -71.1873,42.7904 "," -75.4843,39.7167 ",," -114.6863,35.5814 "," -75.5585,44.6647 "," -84.2432,38.8055 "," -96.3474,33.6912 "," -121.8933,45.6659 "," -80.5202,42.3240 ",," -83.2983,34.8318 ",," -84.2926,35.2198 "," -102.7002,29.6881 ",," -81.2741,37.2653 "," -72.0360,44.1349 "," -119.5724,45.9249 "," -90.4147,46.5664 "," -79.6481,38.5868 ",
" -166.4429,60.8556 ",," -90.1772,35.1323 "," -114.5036,33.7609 "," -114.3622,34.1186 ",,,," -81.6051,30.7289 "," -81.1436,32.2151 ",," -91.0547,43.2882 "," -113.7978,45.4409 "," -89.5358,37.6936 "," -87.1394,37.7924 ",," -84.7554,39.1439 "," -91.5614,31.0318 "," -71.1859,42.7873 "," -77.0430,38.4009 "," -67.6524,45.6208 "," -83.8264,46.1185 "," -90.9792,48.2174 "," -89.2035,36.6288 "," -91.0767,32.0267 "," -114.5132,46.1237 "," -82.5677,35.9547 ",," -97.2029,42.8085 "," -71.1832,42.7349 "," -75.4156,39.8033 ",," -114.6533,35.5233 "," -75.4088,44.7672 "," -84.0866,38.7712 "," -96.0205,33.8522 "," -121.8906,45.6812 ",,," -83.1459,34.9276 ",," -84.3201,34.9884 "," -102.5134,29.7691 ",," -81.1560,37.2719 "," -72.0580,44.0698 "," -119.6013,45.9196 "," -89.9615,47.2876 "," -79.6962,38.4869 ",
" -167.8381,60.5357 ",," -90.1112,35.1985 "," -114.5284,33.8157 "," -114.4089,34.1118 ",,,," -81.5666,30.7324 "," -81.1134,32.1128 ",," -91.2057,43.3322 "," -113.7085,45.2720 "," -89.9670,37.9767 "," -87.4429,37.9464 ",," -84.8914,39.0523 "," -91.6397,30.9988 "," -71.1832,42.7369 "," -77.0897,38.3697 "," -67.4533,45.5987 "," -83.7598,46.1028 "," -91.3252,48.0726 "," -89.2516,36.5449 "," -91.0767,32.1198 "," -114.4652,46.2577 "," -82.4730,36.0236 ",," -97.2290,42.8458 "," -71.2463,42.7450 "," -75.2632,39.8360 ",," -114.6863,35.5054 "," -75.3442,44.8101 "," -83.8916,38.7519 "," -95.8379,33.8396 "," -121.8164,45.7081 ",,," -83.1047,34.9996 ",," -90.3131,34.9996 "," -102.3843,29.7596 ",," -80.9802,37.3025 "," -72.1101,44.0017 "," -119.6700,45.8565 "," -90.6578,47.3100 "," -79.6989,38.4213 ",
" -167.7118,59.5482 ",," -90.1524,35.2826 "," -114.5325,33.8545 "," -114.4363,34.0856 ",,,," -81.5295,30.7229 "," -80.9225,32.0477 ",," -91.2236,43.4140 "," -113.4256,45.0260 "," -90.3790,38.2587 "," -87.5885,37.9756 ",," -84.8735,38.9263 "," -89.7336,31.0012 "," -71.2189,42.7470 "," -77.1432,38.3697 "," -67.4176,45.5044 "," -83.6547,46.1218 "," -91.5738,48.0505 "," -89.3532,36.6188 "," -91.0437,32.1942 "," -114.4171,46.3441 "," -82.4194,36.0669 ",," -97.3979,42.8629 "," -71.2972,42.6986 "," -75.1918,39.8823 ",," -114.6149,35.4070 "," -75.3058,44.8383 "," -83.6636,38.6330 "," -95.7349,33.8887 "," -121.7560,45.6966 ",,," -82.7779,35.0817 ",," -90.2843,35.1233 "," -102.3047,29.8788 ",," -80.8566,37.3396 "," -72.0937,43.9671 "," -119.8052,45.8479 "," -92.0352,46.7079 "," -79.7690,38.3557 ",
" -165.8002,59.4115 ",," -90.1332,35.4383 "," -114.5380,33.9285 "," -114.4336,34.0276 ",,,," -81.4856,30.7253 "," -80.6960,32.0500 ",," -91.2305,43.5008 "," -113.4998,44.9405 "," -90.2376,38.6169 "," -87.6283,37.9225 ",," -84.8131,38.7894 "," -89.8517,30.6686 "," -71.2560,42.7400 "," -77.2627,38.3320 "," -67.5014,45.4823 "," -83.5723,46.1056 "," -91.7070,48.1166 "," -89.4397,36.5538 "," -91.0107,32.2221 "," -114.3896,46.4530 "," -82.3535,36.1168 ",," -97.5133,42.8427 "," -71.7421,42.7077 "," -74.7922,40.1180 ",," -114.5929,35.3218 "," -75.2399,44.8676 "," -83.5263,38.6962 "," -95.5426,33.8841 "," -121.5335,45.7254 ",,," -82.3920,35.2075 ",," -90.1758,35.1379 "," -102.1509,29.7834 ",," -80.8786,37.3876 "," -72.1252,43.9088 "," -119.9096,45.8278 "," -92.2948,46.5928 "," -79.7937,38.2813 ",
" -164.5972,59.3696 ",," -90.0206,35.5579 "," -114.5235,33.9530 "," -114.4652,34.0117 ",,,," -81.4609,30.7111 "," -80.7289,31.8881 ",," -96.5973,43.4998 "," -113.3459,44.7887 "," -90.1744,38.7573 "," -87.6915,37.8694 ",," -84.9957,38.7691 "," -89.7858,30.5386 "," -71.2985,42.6986 "," -77.3135,38.4525 "," -67.4231,45.3714 "," -83.4343,45.9993 "," -91.7166,48.1963 "," -89.5358,36.4942 "," -90.9132,32.3150 "," -114.3484,46.5069 "," -82.2862,36.1345 ",," -97.6149,42.8488 "," -72.4590,42.7268 "," -74.7331,40.1390 ",," -114.5737,35.1783 "," -75.1204,44.9211 "," -83.2736,38.5976 "," -95.2831,33.8738 "," -121.3907,45.6928 ",,," -82.2203,35.1974 ",," -90.1112,35.1985 "," -101.7004,29.7572 ",," -80.8511,37.4247 "," -72.1733,43.8682 "," -119.9652,45.8245 "," -92.2975,46.0761 "," -79.9365,38.1518 ",
" -162.8558,59.1168 ",," -89.9780,35.6740 "," -114.4748,34.0049 "," -114.5119,33.9582 ",,,," -81.4169,30.7088 "," -80.9665,31.4697 ",," -96.6110,43.4818 "," -113.2471,44.8062 "," -90.1167,38.8247 "," -87.8879,37.9236 ",," -85.1921,38.6866 "," -89.6347,30.3148 "," -71.9151,42.7127 "," -77.2737,38.5514 "," -67.4863,45.2768 "," -83.5977,45.8211 "," -91.9844,48.2494 "," -89.5331,36.3594 "," -91.0313,32.3742 "," -114.3279,46.6504 "," -82.1461,36.1467 ",," -97.8456,42.8659 "," -72.5098,42.7621 "," -74.8485,40.2565 ",," -114.6094,35.1199 "," -74.9995,44.9609 "," -83.1445,38.6169 "," -95.2171,33.9570 "," -121.3646,45.7081 ",,," -81.0379,35.1480 ",," -90.1524,35.2849 "," -101.4917,29.7644 ",," -80.7715,37.3702 "," -72.1994,43.7899 "," -120.0710,45.7852 "," -92.3579,46.0132 "," -79.9818,38.0232 ",
" -162.5427,58.1185 ",," -89.9547,35.7287 "," -114.4308,34.0299 "," -114.5366,33.9308 ",,,," -81.2274,30.7064 "," -81.1011,30.9988 ",," -96.5245,43.3871 "," -113.1180,44.7350 "," -90.1799,38.8846 "," -87.9620,37.7718 ",," -85.4407,38.7209 "," -89.5688,30.1807 "," -72.5441,42.7309 "," -77.2490,38.5954 "," -67.3434,45.1297 "," -82.5197,45.3396 "," -92.0078,48.3188 "," -89.5345,36.2509 "," -91.0217,32.4263 "," -114.4652,46.6334 "," -82.1228,36.1035 ",," -97.9980,42.7470 "," -72.5414,42.8105 "," -74.9419,40.3361 ",," -114.6368,35.1109 "," -74.9899,44.9803 "," -83.0127,38.7027 "," -95.0496,33.8670 "," -121.2039,45.6582 ",,," -81.0324,35.0446 ",," -90.1346,35.4372 "," -101.2939,29.6308 ",," -80.5518,37.4749 "," -72.1994,43.7899 "," -120.1705,45.7623 "," -92.5227,45.9769 "," -80.1370,37.8835 ",
" -160.6421,58.1359 ",," -89.6594,35.9169 "," -114.4363,34.0891 "," -114.5091,33.9058 ",,,," -81.2357,30.4345 "," -81.2288,30.7041 ",," -96.5533,43.2232 "," -113.0246,44.4887 "," -90.4504,38.9680 "," -88.0321,37.7870 ",," -85.4077,38.5653 "," -89.4960,30.1582 "," -73.2541,42.7450 "," -77.1281,38.6373 "," -67.2487,45.1830 "," -82.1221,43.5918 "," -92.0531,48.3544 "," -89.6100,36.0891 "," -91.0986,32.4634 "," -114.5929,46.6362 "," -82.0267,36.1268 ",," -98.1450,42.8337 "," -72.5592,42.8609 "," -74.9721,40.4020 ",," -114.6368,35.0929 "," -74.9103,44.9852 "," -82.8973,38.7327 "," -94.8862,33.7677 "," -121.1957,45.6083 ",,," -80.9322,35.1019 ",," -90.0192,35.5568 "," -101.2582,29.5269 ",," -80.5133,37.4792 "," -72.2392,43.7384 "," -120.2110,45.7258 "," -92.7466,45.8135 "," -80.2592,37.7295 ",
" -159.5050,58.0285 ",," -89.6883,35.9658 "," -114.3526,34.1357 "," -114.5256,33.8613 ",,,," -81.1725,30.3160 "," -81.6023,30.7241 ",," -96.4421,43.1301 "," -112.8502,44.3592 "," -90.5905,38.8654 "," -88.0376,37.8092 ",," -85.5972,38.4461 "," -89.1843,30.2140 "," -73.2664,42.7460 "," -77.1378,38.6737 "," -67.1223,45.1230 "," -82.4119,43.0112 "," -92.1561,48.3599 "," -89.7116,36.0002 "," -91.0080,32.6070 "," -114.7659,46.7003 "," -81.9360,36.2797 ",," -98.4485,42.9293 "," -72.5317,42.8981 "," -75.0627,40.4240 ",," -114.6039,35.0750 "," -74.8856,45.0017 "," -82.8355,38.5782 "," -94.6692,33.6695 "," -121.1462,45.6102 ",,," -80.7811,34.9344 ",," -89.9547,35.7343 "," -101.0056,29.3642 ",," -80.4803,37.4247 "," -72.3010,43.7056 "," -120.3628,45.7057 "," -92.8564,45.6140 "," -80.2881,37.6795 ",
" -158.8953,57.6336 ",," -89.7130,36.0013 "," -114.2908,34.1720 "," -114.5215,33.8248 ",,,," -81.0379,29.7763 "," -81.7657,30.7713 ",," -96.5479,42.9243 "," -112.8310,44.4151 "," -90.7086,39.0405 "," -88.0643,37.8011 ",," -85.7455,38.2748 "," -89.0373,30.1463 "," -73.3406,42.5460 "," -77.0760,38.7112 "," -66.9672,44.8315 "," -82.4249,42.9956 "," -92.2975,48.3307 "," -90.3735,35.9958 "," -91.1096,32.5746 "," -114.9307,46.8423 "," -81.7987,36.3527 ",," -98.5020,42.9966 "," -72.5400,42.9524 "," -75.0613,40.4898 ",," -114.6259,35.0480 "," -74.8306,45.0153 "," -82.5952,38.3761 "," -94.4852,33.6386 "," -121.0803,45.6524 ",,," -80.7948,34.8194 ",," -89.7638,35.8579 "," -100.9204,29.3056 ",," -80.3018,37.5097 "," -72.3271,43.6391 "," -120.4829,45.6951 "," -92.7754,45.5477 "," -80.2194,37.6295 ",
" -159.9060,56.9090 ",," -90.3735,35.9958 "," -114.2255,34.2044 "," -114.5050,33.7597 ",,,," -80.5861,28.8603 "," -81.9498,30.8221 ",," -96.6357,42.7188 "," -112.7266,44.4887 "," -90.7306,39.2301 "," -88.0925,37.8206 ",," -85.8087,38.2716 "," -88.8354,30.0905 "," -73.4436,42.2671 "," -77.0361,38.7187 "," -66.8628,44.7409 "," -82.4236,42.9579 "," -92.2742,48.2475 "," -90.2747,36.1223 "," -91.1536,32.6394 "," -115.1147,47.0402 "," -81.7081,36.3361 ",," -104.0543,43.0006 "," -72.4919,42.9745 "," -75.1067,40.5733 ",," -114.6478,35.0345 "," -74.7633,45.0046 ",," -94.4357,35.3499 "," -121.0144,45.6582 ",,," -79.6756,34.8048 ",," -89.6635,35.9180 "," -100.7707,29.1642 ",," -80.2798,37.5359 "," -72.3436,43.5893 "," -120.5942,45.7469 "," -92.6587,45.4293 "," -80.3224,37.5391 ",
" -160.6531,56.3926 ",," -90.2664,36.1268 "," -114.1685,34.2595 "," -114.4940,33.7083 ",,,," -80.3650,28.4771 "," -82.0239,30.7560 ",," -96.5561,42.6158 "," -112.3901,44.4504 "," -90.8350,39.3173 "," -88.0451,37.8223 ",," -85.8650,38.2069 "," -88.7421,29.8383 "," -73.4917,42.1349 "," -77.0416,38.7766 "," -67.3105,44.4945 "," -82.4648,42.9021 "," -92.3717,48.2228 "," -90.0934,36.2886 "," -91.1426,32.7226 "," -115.2933,47.1888 "," -81.6724,36.5880 ",,," -72.4658,42.9906 "," -75.2138,40.5639 ",," -114.6423,35.0030 "," -74.7070,45.0027 ",," -94.5978,36.3715 "," -120.9814,45.6467 ",,," -78.9560,34.2016 ",," -89.7130,35.9947 "," -100.7007,29.0946 ",," -80.3293,37.5380 "," -72.3793,43.5814 "," -120.6340,45.7460 "," -92.7136,45.3029 "," -80.2881,37.5315 ",
" -161.8835,56.2342 ",," -90.0934,36.2875 "," -114.1301,34.2572 "," -114.5284,33.6832 ",,,," -80.3815,28.1882 "," -82.0459,30.6379 ",," -96.4847,42.5055 "," -112.3270,44.5347 "," -90.9338,39.3853 "," -88.0575,37.8483 ",," -85.9323,38.0286 "," -88.8712,29.5758 "," -73.5081,42.0880 "," -77.0320,38.8451 "," -67.9051,44.3268 "," -82.4689,42.8543 "," -92.4609,48.3854 "," -90.0769,36.3903 "," -91.1426,32.7873 "," -115.3290,47.2569 "," -80.7234,36.5659 ",,," -72.4480,43.0127 "," -75.2028,40.6192 ",," -114.8016,35.1334 "," -74.5642,45.0007 ",," -94.6198,36.4942 "," -120.9430,45.6563 ",,," -78.4836,33.7951 ",," -89.6759,36.0902 "," -100.6306,28.9012 ",," -80.2249,37.6316 "," -72.3972,43.5027 "," -120.6924,45.7143 "," -92.7466,44.9648 "," -80.3032,37.4988 ",
" -162.9822,55.7240 ",," -90.0742,36.3892 "," -114.1397,34.3037 "," -114.5242,33.6363 ",,,," -79.9255,27.1789 "," -82.0239,30.4866 ",," -96.3995,42.4599 "," -112.1127,44.5220 "," -91.1398,39.5559 "," -88.0980,37.9041 ",," -86.0422,37.9550 "," -88.9371,29.1833 "," -73.4985,42.0483 "," -77.0708,38.9025 "," -68.6673,43.8702 "," -82.4826,42.8100 "," -92.5104,48.4474 "," -90.1538,36.4213 "," -91.1536,32.8519 "," -115.5267,47.3025 "," -80.2977,36.5438 ",,," -72.4713,43.0287 "," -75.2069,40.6494 ",," -117.5153,37.2303 "," -74.1467,44.9920 ",," -94.6211,36.9982 "," -120.9100,45.6371 ",,," -78.7871,33.6489 ",," -89.5894,36.1279 "," -100.4974,28.6593 ",," -80.3018,37.6903 "," -72.3807,43.4988 "," -120.8558,45.6721 "," -92.7686,44.7877 "," -80.4776,37.4182 ",
" -164.3994,55.2478 ",," -90.1511,36.4180 "," -114.2276,34.3664 "," -114.5393,33.5895 ",,,," -79.8198,26.8425 "," -82.0363,30.4309 ",," -96.4050,42.3667 "," -111.8848,44.5582 "," -91.3554,39.7262 "," -88.0705,37.9307 ",," -86.1108,38.0135 "," -89.0359,28.9649 "," -73.1841,42.0452 "," -77.1395,38.9570 "," -68.8431,43.7274 "," -82.4723,42.7863 "," -92.7122,48.4611 "," -90.1538,36.5008 "," -91.1206,32.8796 "," -115.7547,47.4253 "," -79.6729,36.5449 ",,," -72.4713,43.0508 "," -75.0806,40.8284 ",," -120.0009,39.0000 "," -73.7306,45.0037 ",," -103.0064,37.0004 "," -120.8524,45.6755 ",,," -79.0837,33.2019 ",," -89.6484,36.1856 "," -100.3601,28.4675 ",," -80.2551,37.7251 "," -72.3999,43.4150 "," -120.9142,45.6409 "," -92.6422,44.6530 "," -80.5119,37.4814 ",
" -165.3168,54.7753 ",," -90.1566,36.4997 "," -114.2633,34.4012 "," -114.5242,33.5528 ",,,," -79.9118,26.1394 "," -82.0610,30.3575 ",," -96.3446,42.2722 "," -111.8271,44.5132 "," -91.4406,39.8570 "," -88.0369,37.9561 ",," -86.2756,38.0643 "," -89.2282,28.8832 "," -72.8146,42.0371 "," -77.2335,38.9773 "," -69.7137,43.6639 "," -82.4847,42.7339 "," -92.6340,48.4984 "," -94.6184,36.4975 "," -91.2195,32.9257 "," -115.7533,47.5487 "," -77.2559,36.5449 ",,," -72.4356,43.0819 "," -75.0998,40.8429 ",," -119.9982,41.9942 "," -73.4203,45.0085 ",,," -120.6052,45.7445 ",,," -79.4476,32.7607 ",," -89.7006,36.2343 "," -100.2969,28.2778 ",," -80.2551,37.7707 "," -72.4123,43.3601 "," -120.9471,45.6572 "," -92.3552,44.5504 "," -80.7715,37.3691 ",
" -167.1075,54.1463 ",," -94.6198,36.4986 "," -114.3388,34.4534 "," -114.5586,33.5311 ",,,," -79.9997,25.5115 "," -82.1585,30.3598 ",," -96.3625,42.2051 "," -111.4645,44.5396 "," -91.4941,39.9940 "," -88.0122,37.9669 ",," -86.2770,38.1389 "," -89.4754,28.9048 "," -72.8160,41.9962 "," -77.2462,39.0240 "," -70.0818,43.5625 "," -82.5032,42.6855 "," -92.6395,48.5403 "," -94.6143,38.9722 "," -91.2085,32.9995 "," -115.6956,47.5793 "," -75.7562,36.5505 ",,," -72.4452,43.1040 "," -75.0504,40.8689 ",,," -73.3430,45.0109 ",,," -120.5310,45.7158 ",,," -79.8116,32.5225 ",," -89.5331,36.2531 "," -100.1733,28.1882 ",," -80.1961,37.8347 "," -72.3903,43.3591 "," -120.9787,45.6419 "," -92.2632,44.4652 "," -80.8635,37.4214 ",
