AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,,,," -118.7073,33.7928 ",,,," -87.6050,30.9964 ",,,," -116.8513,44.9624 ",,,,," -93.5101,31.0318 ",," -78.6676,39.5337 ",," -87.4059,45.2024 "," -96.4558,45.2961 ",,,,,,," -71.5855,44.5073 ",,,," -73.4834,41.2128 ",,," -116.9302,44.7955 ",,,,,," -93.7587,30.3835 ",," -78.3469,39.4659 "," -73.3928,44.1921 "," -123.4314,46.1822 ",," -80.7893,39.8802 ",
,,,," -119.3706,33.9582 ",,,,,,,," -116.8554,44.9896 ",,,,," -93.5596,31.0906 ",," -78.7390,39.5888 ",," -87.4416,45.0774 "," -96.4531,43.5008 ",,,,,,," -71.5746,44.5357 ",,,," -73.7275,41.1011 ",,," -117.0346,44.7487 ",,,,,," -93.7010,30.4380 ",," -77.9744,39.2283 "," -73.3427,44.2393 "," -123.4287,46.2293 ",," -80.7990,39.8518 ",
,,,," -120.0050,34.1925 ",,,,,,,," -116.8417,45.0313 ",,,,," -93.5321,31.1211 ",," -78.7720,39.6015 ",," -87.5912,45.0910 ",,,,,,,," -71.6048,44.5601 ",,,," -73.6644,41.0237 ",,," -117.1225,44.5787 ",,,,,," -93.7024,30.5079 ",," -77.8302,39.1338 "," -73.3186,44.2467 "," -123.4946,46.2691 ",," -80.7495,40.0980 ",
,,,," -120.7164,34.2561 ",,,,,,,," -116.7819,45.0968 ",,,,," -93.5349,31.1799 ",," -78.7363,39.6184 ",," -87.6407,45.1036 ",,,,,,,," -71.5897,44.5680 ",,,," -73.6578,40.9851 ",,," -117.1445,44.5455 ",,,,,," -93.7299,30.5362 ",," -77.7355,39.3130 "," -73.3406,44.3484 "," -123.5557,46.2582 ",," -80.7262,40.2282 ",
,,,," -120.9128,34.5360 ",,,,,,,," -116.7229,45.1627 ",,,,," -93.5953,31.1658 ",," -78.7775,39.6438 ",," -87.6970,45.2207 ",,,,,,,," -71.5649,44.5680 ",,,," -73.6132,40.9509 ",,," -117.2076,44.4847 ",,,,,," -93.6694,30.6296 ",," -77.7090,39.3213 "," -73.3385,44.3690 "," -123.6209,46.2573 ",," -80.6918,40.3926 ",
,,,," -120.8427,34.9749 ",,,,,,,," -116.7105,45.2178 ",,,,," -93.6282,31.2292 ",," -78.7912,39.6036 ",," -87.6476,45.3367 ",,,,,,,," -71.5485,44.5914 ",,,," -72.4823,41.1869 ",,," -117.2269,44.4789 ",,,,,," -93.6090,30.7466 ",," -77.6218,39.3043 "," -73.2946,44.4328 "," -123.6875,46.2497 ",," -80.6451,40.5910 ",
,,,," -121.1325,35.2131 ",,,,,,,," -116.6741,45.3213 ",,,,," -93.6118,31.2668 ",," -78.8187,39.6036 ",," -87.6984,45.3878 ",,,,,,,," -71.5649,44.5993 ",,,," -72.0950,41.2551 ",,," -117.2269,44.4063 ",,,,,," -93.5527,30.8114 ",," -77.5686,39.3067 "," -73.3296,44.5367 "," -123.7404,46.2691 ",," -80.5188,40.6338 ",
,,,," -121.3220,35.5255 ",,,,,,,," -116.6185,45.3984 ",,,,," -93.6859,31.3044 ",," -78.8571,39.5549 ",," -87.8494,45.3425 ",,,,,,,," -71.5540,44.6315 ",,,," -71.9714,41.3005 ",,," -117.2488,44.3926 ",,,,,," -93.5747,30.8834 ",," -77.4567,39.2248 "," -73.3832,44.5919 "," -123.8729,46.2350 ",," -80.5174,39.7241 ",
,,,," -121.8013,35.9691 ",,,,,,,," -116.5883,45.4433 ",,,,," -93.6694,31.3888 ",," -78.9203,39.4913 ",," -87.7959,45.5025 ",,,,,,,," -71.5924,44.6608 ",,,," -71.9193,41.3108 ",,," -117.1939,44.3455 ",,,,,," -93.5307,30.9376 ",," -77.5226,39.1543 "," -73.3770,44.6569 "," -123.9292,46.2383 ",," -79.4778,39.7209 ",
,,,," -122.1446,36.2808 ",,,,,,,," -116.5553,45.4630 ",,,,," -93.7051,31.4240 ",," -78.9725,39.4426 ",," -87.7890,45.6726 ",,,,,,,," -71.6130,44.7243 ",,,," -71.7915,41.1838 ",,," -117.2269,44.2983 ",,,,,," -93.5074,31.0318 ",," -77.5243,39.1277 "," -73.3681,44.7477 "," -123.9711,46.2677 ",,,
